keys,en,zh,de
# Narrative Prompt Builder - Character Directives,,,
NARRATIVE_CHARACTER_DIRECTIVES,"\n\nIMPORTANT: Include scene directives in this format:\n[SCENE_DIRECTIVES]\n{\n  ""characters"": {\n    ""%s"": {""expression"": ""expression_type""}\n  }\n}\n[/SCENE_DIRECTIVES]\n\nAvailable expressions: neutral, happy, sad, angry, confused, shocked, thinking, embarrassed\nChoose the expression that matches their mood.","\n\n附上場景指令：\n[SCENE_DIRECTIVES]\n{\n  ""characters"": {\n    ""%s"": {""expression"": ""expression_type""}\n  }\n}\n[/SCENE_DIRECTIVES]\n\n可用表情：neutral, happy, sad, angry, confused, shocked, thinking, embarrassed\n表情需符合角色此刻的態度。","\n\nWICHTIG: Fuegen Sie Szenenanweisungen in diesem Format ein:\n[SCENE_DIRECTIVES]\n{\n  ""characters"": {\n    ""%s"": {""expression"": ""expression_type""}\n  }\n}\n[/SCENE_DIRECTIVES]\n\nVerfuegbare Ausdruecke: neutral, happy, sad, angry, confused, shocked, thinking, embarrassed\nWaehlen Sie den Ausdruck, der zur Stimmung der Figur passt."
# Narrative Prompt Builder - Force Complete,,,
NARRATIVE_FORCE_COMPLETE,"\n[SYSTEM: DEBUG MODE ACTIVE]\nRegardless of story context, you MUST force the end of the current chapter.\nSet ""mission_status"" to ""complete"" in the SCENE_DIRECTIVES.\nWrite an abrupt ending or twist to conclude the mission immediately.","\n[SYSTEM: DEBUG MODE ACTIVE]\n無論故事進展如何，你必須強制結束當前章節。\n請在 SCENE_DIRECTIVES 中將 ""mission_status"" 設為 ""complete""。\n請撰寫一個突如其來的結局或轉折來結束本章。","\n[SYSTEM: DEBUG-MODUS AKTIV]\nUnabhaengig vom Story-Kontext MUESSEN Sie das Ende des aktuellen Kapitels erzwingen.\nSetzen Sie ""mission_status"" in den SCENE_DIRECTIVES auf ""complete"".\nSchreiben Sie ein abruptes Ende oder eine Wendung, um die Mission sofort abzuschliessen."
# Narrative Prompt Builder - Intro Story,,,
NARRATIVE_INTRO_HEADER,=== First Round Story Introduction ===\n\n,=== 首輪故事介紹 ===\n\n,=== Einführung in die Geschichte der ersten Runde ===\n\n
NARRATIVE_INTRO_FALLBACK_HEADER,=== First Round Story Introduction ===,=== 首輪故事介紹 ===,=== Einführung in die Geschichte der ersten Runde ===
NARRATIVE_INTRO_FALLBACK_DESC,This is the game's opening scene. The player has just joined GDA1.,這是遊戲的第一個場景。玩家剛剛加入 GDA1（光榮拯救機構1）。,Dies ist die Eröffnungsszene des Spiels. Der Spieler ist gerade GDA1 beigetreten.
NARRATIVE_INTRO_FALLBACK_INSTRUCTION,"Generate an engaging opening introduction (200-300 words) with world, agency, teammates, and player role.",請生成一個引人入勝的開場介紹（200-300字），包含世界觀、機構、隊友和玩家角色。,"Erstellen Sie eine ansprechende Einleitung (200–300 Wörter) mit Welt, Agentur, Teamkollegen und Spielerrolle."
# Narrative Prompt Builder - Intro JSON Schema,,,
NARRATIVE_INTRO_JSON_SCHEMA,"\n\n**IMPORTANT: Respond with EXACTLY one valid JSON object.**\nUse this schema:\n{\n  ""mission_title"": ""<Opening title, e.g., 'Welcome to the Glorious Deliverance Agency'>"",\n  ""scene"": {""background"": ""prayer"", ""atmosphere"": ""bright but unsettling"", ""lighting"": ""bright""},\n  ""characters"": {\n    ""protagonist"": {""expression"": ""confused"", ""visible"": true},\n    ""gloria"": {""expression"": ""happy"", ""visible"": true},\n    ""donkey"": {""expression"": ""happy"", ""visible"": true},\n    ""ark"": {""expression"": ""thinking"", ""visible"": true},\n    ""one"": {""expression"": ""neutral"", ""visible"": true}\n  },\n  ""story_text"": ""<200-300 word opening introduction>"",\n  ""choices"": [\n    {""archetype"": ""cautious"", ""summary"": ""<Observe surroundings with suspicion>""},\n    {""archetype"": ""positive"", ""summary"": ""<Express enthusiasm about joining>""},\n    {""archetype"": ""balanced"", ""summary"": ""<Stay polite but guarded>""},\n    {""archetype"": ""complain"", ""summary"": ""<Question the organization's true purpose>""}\n  ]\n}\n\nThe story_text must end with [Cautious], [Positive], [Balanced], [Complain] choice preview lines.","\n\n**重要：回應必須是有效 JSON 物件。**\n輸出結構如下：\n{\n  ""mission_title"": ""<開場標題，如「歡迎加入光榮拯救機構」>"",\n  ""scene"": {""background"": ""prayer"", ""atmosphere"": ""bright but unsettling"", ""lighting"": ""bright""},\n  ""characters"": {\n    ""protagonist"": {""expression"": ""confused"", ""visible"": true},\n    ""gloria"": {""expression"": ""happy"", ""visible"": true},\n    ""donkey"": {""expression"": ""happy"", ""visible"": true},\n    ""ark"": {""expression"": ""thinking"", ""visible"": true},\n    ""one"": {""expression"": ""neutral"", ""visible"": true}\n  },\n  ""story_text"": ""<200-300 字的開場介紹>"",\n  ""choices"": [\n    {""archetype"": ""cautious"", ""summary"": ""<懷疑地觀察周圍>""},\n    {""archetype"": ""positive"", ""summary"": ""<熱情地表示加入的決心>""},\n    {""archetype"": ""balanced"", ""summary"": ""<禮貌但保持距離>""},\n    {""archetype"": ""complain"", ""summary"": ""<質疑這個組織的真正目的>""}\n  ]\n}\n\nstory_text 結尾必須包含 [謹慎]、[樂觀]、[權衡]、[抱怨] 的選項預告行。","\n\n**WICHTIG: Antworten Sie mit GENAU einem gueltigen JSON-Objekt.**\nVerwenden Sie dieses Schema:\n{\n  ""mission_title"": ""<Eroeffnungstitel, z. B. 'Willkommen bei der Glorious Deliverance Agency'>"",\n  ""scene"": {""background"": ""prayer"", ""atmosphere"": ""hell aber beunruhigend"", ""lighting"": ""bright""},\n  ""characters"": {\n    ""protagonist"": {""expression"": ""confused"", ""visible"": true},\n    ""gloria"": {""expression"": ""happy"", ""visible"": true},\n    ""donkey"": {""expression"": ""happy"", ""visible"": true},\n    ""ark"": {""expression"": ""thinking"", ""visible"": true},\n    ""one"": {""expression"": ""neutral"", ""visible"": true}\n  },\n  ""story_text"": ""<200-300 Woerter Eroeffnungseinleitung>"",\n  ""choices"": [\n    {""archetype"": ""cautious"", ""summary"": ""<Umgebung misstrauisch beobachten>""},\n    {""archetype"": ""positive"", ""summary"": ""<Begeisterung ueber den Beitritt ausdruecken>""},\n    {""archetype"": ""balanced"", ""summary"": ""<Hoeflich bleiben, aber vorsichtig sein>""},\n    {""archetype"": ""complain"", ""summary"": ""<Den wahren Zweck der Organisation infrage stellen>""}\n  ]\n}\n\nstory_text muss mit den Vorschauzeilen [Vorsichtig], [Positiv], [Ausgewogen] und [Beschweren] enden."
# Mock AI Generator - Localized Strings,,,
MOCK_STORY_TITLE_1,Project Glitter Leak,亮粉洩漏工程,Projekt Glitter Leak
MOCK_STORY_TITLE_2,Operation Mandatory Smile,強制微笑行動,Operation obligatorisches Lächeln
MOCK_STORY_TITLE_3,Hope Injection Drill,希望注射演習,Hope-Injektionsbohrer
MOCK_STORY_TITLE_4,Radiant Disaster Outreach,輝煌災難外展,Radiant Disaster Outreach
MOCK_STORY_TITLE_5,Enthusiasm Containment Protocol,熱情管控行動,Enthusiasmus-Eindämmungsprotokoll
MOCK_STORY_TITLE_6,Operation Compliance Rainbow,服從彩虹行動,Operation Compliance Rainbow
MOCK_STORY_TITLE_7,Emergency Optimism Surge,樂觀緊急部署,Notfall-Optimismus-Anstieg
MOCK_STORY_TITLE_8,Mandatory Wonder Deployment,強制奇蹟部署,Obligatorischer Wonder-Einsatz
MOCK_STORY_SETUP_1,Gloria convened an emergency meeting at 3am to announce that the team must install exactly 300 pastel light bulbs inside the underground shelter so despair will reflect less off the concrete walls. She has already ordered them in bulk. Delivery is in four hours. The shelter's electrical system was rated for 1987.,Gloria 在凌晨三點召開緊急會議，宣布團隊必須在地下避難所內安裝恰好 300 顆粉彩燈泡，這樣絕望就不會從混凝土牆上反射出來。她已經批量訂購了。四小時後交貨。避難所的電氣系統評級是 1987 年的。,"Gloria berief um 3 Uhr morgens eine Notfallsitzung ein, um bekannt zu geben, dass das Team genau 300 pastellfarbene Glühbirnen im unterirdischen Bunker installieren muss, damit die Verzweiflung weniger von den Betonwänden reflektiert wird. Sie hat sie bereits in großen Mengen bestellt. Die Lieferung erfolgt in vier Stunden. Das elektrische System des Tierheims wurde für das Jahr 1987 ausgelegt."
MOCK_STORY_SETUP_2,"Donkey announced in the city square from atop a kiosk that today's schedule ends definitively with a royal rescue, even though no royalty lives here, has ever lived here, or was ever mentioned in any official census. He has already invited the press. They are waiting. Reality is not.",Donkey 在城市廣場的報攤上宣布，今天的日程以皇室救援結束，儘管這裡沒有皇室居住，從未居住過，也從未在任何官方人口普查中提及。他已經邀請了媒體。他們在等待。現實沒有。,"Donkey verkündete auf dem Stadtplatz von einem Kiosk aus, dass das heutige Programm definitiv mit einer königlichen Rettung endet, auch wenn hier kein König lebt, jemals hier gelebt hat oder jemals in einer offiziellen Volkszählung erwähnt wurde. Er hat die Presse bereits eingeladen. Sie warten. Die Realität ist es nicht."
MOCK_STORY_SETUP_3,"ARK printed a forty page checklist that must be completed in order, signed in triplicate, and notarized before anyone is allowed to speak to the locals. The checklist itself is three pages long. The signature page is four pages. Page 28 contains only the words 'VERIFY PREVIOUS PAGE' with no other context. You have two hours.",ARK 列印了一份四十頁的清單，必須按順序完成、一式三份簽名並公證，然後才能與當地人交談。清單本身長達三頁。簽名頁有四頁。第 28 頁僅包含「驗證前一頁」字樣，沒有其他上下文。你有兩個小時。,"ARK hat eine vierzigseitige Checkliste gedruckt, die der Reihe nach ausgefüllt, in dreifacher Ausfertigung unterschrieben und notariell beglaubigt werden muss, bevor jemand mit den Einheimischen sprechen darf. Die Checkliste selbst ist drei Seiten lang. Die Signaturseite umfasst vier Seiten. Seite 28 enthält nur die Worte „VERIFY PREVIOUS PAGE“ ohne weiteren Kontext. Du hast zwei Stunden."
MOCK_STORY_SETUP_4,"One quietly stocked the community kitchen with enough food for three weeks, but the others misinterpreted the gesture and planned an elaborate televised celebration feast. The media trucks are already here. One is watching from the corner, hoping nobody asks him to make a speech.",One 悄悄地在社區廚房儲存了足夠三週的食物，但其他人誤解了這個手勢，計劃了一場精心策劃的電視慶祝盛宴。媒體卡車已經到了。One 在角落裡看著，希望沒有人要求他發表演講。,"Einer versorgte still und heimlich die Gemeinschaftsküche mit genug Essen für drei Wochen, doch die anderen interpretierten die Geste falsch und planten ein aufwändiges, im Fernsehen übertragenes Festessen. Die Medientrucks sind bereits da. Einer schaut aus der Ecke zu und hofft, dass ihn niemand zu einer Rede auffordert."
MOCK_STORY_SETUP_5,The Agency was assigned to staff a positivity kiosk in the wreckage of a community center that collapsed forty-eight hours ago. The kiosk is fully stocked. The forms are pre-printed. The waiting area has chairs arranged in an encouraging semicircle. Nobody has been cleared to enter the building. This is not considered an obstacle by Gloria.,特工署被派去在四十八小時前倒塌的社區中心廢墟中設立積極性服務臺。服務臺已滿員配置，表格都印好了，等候區的椅子擺成鼓舞人心的半圓形。還沒有人獲准進入這棟建築物。Gloria 不覺得這是個問題。,"Die Agentur wurde damit beauftragt, einen Positivitätskiosk in den Trümmern eines Gemeindezentrums zu betreuen, das vor 48 Stunden eingestürzt war. Der Kiosk ist voll ausgestattet. Die Formulare sind vorgedruckt. Im Wartebereich sind Stühle in einem einladenden Halbkreis angeordnet. Niemand hat die Erlaubnis, das Gebäude zu betreten. Dies wird von Gloria nicht als Hindernis angesehen."
MOCK_STORY_SETUP_6,Gloria scheduled a team morale photo shoot at precisely the moment the evacuation order was issued. She has already arranged the aesthetic and booked the photographer. The evacuation route runs directly through the backdrop. This is also the backdrop's best angle.,Gloria 在疏散令發布的同一時刻安排了一場提升士氣的團隊拍攝。她已規劃好美學風格並預約攝影師。疏散路線直接穿過背景板。這也是背景板最好看的角度。,"Gloria plante genau zu dem Zeitpunkt, als der Evakuierungsbefehl erteilt wurde, ein Fotoshooting zur Teammoral. Sie hat bereits die Ästhetik vereinbart und den Fotografen gebucht. Der Evakuierungsweg verläuft direkt durch die Kulisse. Dies ist auch der beste Winkel des Hintergrunds."
MOCK_STORY_SETUP_7,Donkey announced at the briefing that he had already resolved the primary crisis by redistributing the problem to neighboring districts. He has documents. They have his signature. The neighboring districts were not consulted. This is described in his report as proactive delegation.,Donkey 在簡報會上宣布他已把主要危機分配給鄰近行政區，問題已解決。他有文件，文件有他的簽名。鄰近行政區沒有被諮詢過。他的報告將此稱為「主動授權」。,"Donkey gab beim Briefing bekannt, dass er die primäre Krise bereits gelöst habe, indem er das Problem auf benachbarte Bezirke verlagerte. Er hat Dokumente. Sie haben seine Unterschrift. Die Nachbarbezirke wurden nicht konsultiert. Dies wird in seinem Bericht als proaktive Delegation beschrieben."
MOCK_STORY_SETUP_8,"Teacher Chan has scheduled a forty-five minute mandatory mindfulness session to begin in seven minutes, at the exact midpoint of the crisis response window. Attendance is not optional. The session covers breathing techniques and present-moment awareness. Absent from the curriculum: any actual crisis response training.",陳老師安排了一場四十五分鐘的強制正念課程，將在七分鐘後開始，恰好是危機響應窗口的正中央。出席不是選擇性的。課程涵蓋呼吸技巧和當下意識。課程明顯缺席的：任何實際的危機響應訓練。,"Lehrer Chan hat eine 45-minütige obligatorische Achtsamkeitssitzung angesetzt, die in sieben Minuten genau in der Mitte des Krisenreaktionsfensters beginnen soll. Die Teilnahme ist nicht freiwillig. Die Sitzung behandelt Atemtechniken und das Bewusstsein für den gegenwärtigen Moment. Fehlt im Lehrplan: eine tatsächliche Krisenreaktionsschulung."
MOCK_STORY_CONTEXT_1,The weather forecast predicts both sunshine and torrential rain simultaneously in the same location.,天氣預報預測同一地點會同時出現陽光和暴雨。,Die Wettervorhersage sagt sowohl Sonnenschein als auch sintflutartigen Regen gleichzeitig am selben Ort voraus.
MOCK_STORY_CONTEXT_2,A documentary crew has been following your team for three days without permission and refuses to leave.,一個紀錄片團隊未經許可跟蹤你的團隊三天並拒絕離開。,"Ein Dokumentarfilmteam verfolgt Ihr Team seit drei Tagen ohne Erlaubnis und weigert sich, zu gehen."
MOCK_STORY_CONTEXT_3,The local government changed all the rules thirty minutes ago but hasn't informed anyone yet.,地方政府在三十分鐘前改變了所有規則，但還沒有通知任何人。,"Die lokale Regierung hat vor dreißig Minuten alle Regeln geändert, aber noch niemanden informiert."
MOCK_STORY_CONTEXT_4,Three separate volunteer groups have conflicting interpretations of what needs to happen.,三個不同的志願者團體對應該發生的事情有相互矛盾的解釋。,"Drei verschiedene Freiwilligengruppen haben widersprüchliche Interpretationen darüber, was passieren muss."
MOCK_STORY_CONTEXT_5,The backup plan was shredded by ARK thirty minutes ago on the grounds that it had not been reviewed by the appropriate sub-committee.,備用計劃三十分鐘前被 ARK 銷毀，理由是它尚未經過適當的小組委員會審查。,"Der Backup-Plan wurde von ARK vor dreißig Minuten mit der Begründung vernichtet, dass er nicht vom zuständigen Unterausschuss überprüft worden sei."
MOCK_STORY_CONTEXT_6,"Three senior officials have been arguing about the legal definition of ""emergency"" for the last forty minutes and cannot proceed until they reach consensus.",三位高級官員就「緊急情況」的法律定義爭論了四十分鐘，在達成共識之前無法繼續推進。,"Drei hochrangige Beamte streiten seit vierzig Minuten über die rechtliche Definition von „Notfall“ und können nicht weitermachen, bis sie einen Konsens erzielt haben."
MOCK_STORY_CONTEXT_7,"The motivational posters were printed upside-down and laminated before anyone noticed, and no one in the chain of command is willing to authorize replacing them.",激勵海報被倒著印出來後又進行了覆膜，在任何人注意到之前，指揮鏈中沒有人願意授權更換。,"Die Motivationsplakate wurden verkehrt herum gedruckt und laminiert, bevor es jemand bemerkte, und niemand in der Befehlskette ist bereit, einen Austausch zu genehmigen."
MOCK_STORY_CONTEXT_8,An automated wellness chatbot has been sending celebratory confetti notifications to the evacuation zone for the past six hours and cannot be disabled without administrator access that no one currently possesses.,一個自動健康聊天機器人過去六小時一直向疏散區發送慶祝彩帶通知，在沒有任何人目前擁有的管理員訪問權限的情況下無法禁用。,"Ein automatisierter Wellness-Chatbot sendet seit sechs Stunden feierliche Konfetti-Benachrichtigungen an die Evakuierungszone und kann ohne Administratorzugriff, über den derzeit niemand verfügt, nicht deaktiviert werden."
MOCK_STORY_TWIST_1,Every forced smile raises the entropy monitor by another red bar. The monitoring equipment was never meant for human emotion tracking. It was meant for industrial furnaces. It is malfunctioning.,每一個被迫的微笑都會使熵監視器再增加一個紅條。監測設備從來不是用於人類情感追蹤的。它是用於工業熔爐的。它出了故障。,Jedes erzwungene Lächeln erhöht den Entropiemonitor um einen weiteren roten Balken. Die Überwachungsausrüstung war nie für die Verfolgung menschlicher Emotionen gedacht. Es war für Industrieöfen gedacht. Es liegt eine Fehlfunktion vor.
MOCK_STORY_TWIST_2,A live broadcast counts down to your miracle while the signal desyncs into ghostly echoes of previous conversations you didn't know were being recorded. Gloria is taking notes. The Council is watching. Both are disappointed.,現場直播倒數計時到你的奇蹟，而信號不同步成為你不知道被錄製的先前對話的幽靈回聲。Gloria 在做筆記。議會在看。兩者都很失望。,"Eine Live-Übertragung zählt bis zu Ihrem Wunder herunter, während das Signal in geisterhafte Echos früherer Gespräche übergeht, von denen Sie nicht wussten, dass sie aufgezeichnet werden. Gloria macht sich Notizen. Der Rat schaut zu. Beide sind enttäuscht."
MOCK_STORY_TWIST_3,"Positive affirmations melt the nearby machines into syrupy sludge, the coffee maker, the printers, the air conditioning unit. Maintenance is not amused. The bill will come later. They always do.",積極的肯定將附近的機器融化成糖漿般的污泥，咖啡機、打印機、空調。維護人員並不覺得好笑。帳單會在稍後到來。他們總是這樣。,"Positive Affirmationen lassen die Maschinen in der Nähe zu sirupartigem Schlamm schmelzen, die Kaffeemaschine, die Drucker, die Klimaanlage. Die Wartung ist nicht amüsiert. Die Rechnung kommt später. Das tun sie immer."
MOCK_STORY_TWIST_4,"Gloria streams your every moment and the comments demand that you repent twice, once for the failure, and once for the audacity of trying in the first place. Her chat is very honest about its assessment of your character.",Gloria 直播你的每一刻，評論要求你懺悔兩次，一次是為了失敗，一次是為了嘗試的大膽。她的聊天室對你的性格評估非常誠實。,"Gloria streamt jeden Ihrer Momente und die Kommentare verlangen, dass Sie zweimal Buße tun, einmal für das Scheitern und einmal für die Dreistigkeit, es überhaupt versucht zu haben. Ihr Chat ist sehr ehrlich, was die Einschätzung Ihres Charakters angeht."
MOCK_STORY_TWIST_5,The emergency hotline was quietly rerouted to Gloria's personal voicemail three weeks ago without notification. She has 847 unheard messages. She considers this impressive engagement.,三週前，緊急熱線悄悄被重新路由到 Gloria 的個人語音信箱，沒有通知。她有 847 條未聽取的消息。她認為這是令人印象深刻的參與度。,Die Notfall-Hotline wurde vor drei Wochen ohne Benachrichtigung stillschweigend auf Glorias persönliche Voicemail umgeleitet. Sie hat 847 ungehörte Nachrichten. Sie findet dieses Engagement beeindruckend.
MOCK_STORY_TWIST_6,Donkey has been secretly recording every complaint and mislabeling each one as evidence of excellent team morale. The archive is growing. It will be admissible.,Donkey 一直在偷偷錄製每一個抱怨，並將每個錄音錯誤標記為「卓越團隊士氣的證明」。存檔在增長。它將是可受理的。,Donkey hat jede Beschwerde heimlich aufgezeichnet und jede einzelne als Beweis für die hervorragende Teammoral falsch bezeichnet. Das Archiv wächst. Es wird zulässig sein.
MOCK_STORY_TWIST_7,"The official mission brief was updated twice while you were reading the previous version, and both updates contradict each other in ways that invalidate any approach taken so far.",當你正在閱讀上一版時，官方任務簡報已更新了兩次，兩次更新相互矛盾，使迄今為止採取的任何方式都失效了。,"Die offizielle Missionsbeschreibung wurde zweimal aktualisiert, während Sie die vorherige Version gelesen haben, und beide Aktualisierungen widersprechen sich in einer Weise, die jeden bisherigen Ansatz ungültig macht."
MOCK_STORY_TWIST_8,ARK has determined that your proposed solution requires a seventeen-step review process and cannot be implemented until all steps are completed and countersigned by personnel who are currently unreachable.,ARK 確定你提出的解決方案需要十七步審查程序，在所有步驟完成並由目前無法聯繫的人員副署之前無法實施。,"ARK hat festgestellt, dass Ihre vorgeschlagene Lösung einen siebzehnstufigen Überprüfungsprozess erfordert und erst umgesetzt werden kann, wenn alle Schritte abgeschlossen und von derzeit nicht erreichbaren Mitarbeitern gegengezeichnet sind."
MOCK_STORY_GOAL_1,"Convince the patrol captain that this is not a cult parade and that you have legitimate permits for the gathering, even though you don't actually have permits, and even though it does look exactly like a cult parade.",說服巡邏隊長這不是邪教遊行，你有合法的集會許可證，儘管你實際上沒有許可證，儘管它看起來確實就像邪教遊行。,"Überzeugen Sie den Streifenkapitän davon, dass dies keine Sektenparade ist und dass Sie über eine legitime Genehmigung für die Versammlung verfügen, auch wenn Sie eigentlich keine Genehmigung haben und obwohl sie genau wie eine Sektenparade aussieht."
MOCK_STORY_GOAL_2,"Stop Donkey from repackaging demolition charges as romantic fireworks before he sells them to civilians, because the civil lawsuits are expensive and the insurance policy explicitly excludes intentional stupidity.",阻止 Donkey 將拆除炸藥重新包裝成浪漫煙花並出售給平民，因為民事訴訟很昂貴，而且保險單明確排除了故意愚蠢。,"Halten Sie Donkey davon ab, Sprengladungen als romantisches Feuerwerk umzupacken, bevor er sie an Zivilisten verkauft, denn die Zivilklagen sind teuer und die Versicherungspolice schließt vorsätzliche Dummheit ausdrücklich aus."
MOCK_STORY_GOAL_3,Find at least one citizen who actually needs help and can articulate the need before Teacher Chan claims the credit for solving problems that didn't exist.,在 Teacher Chan 聲稱解決不存在的問題之前，至少找到一位真正需要幫助並能表達需求的公民。,"Finden Sie mindestens einen Bürger, der tatsächlich Hilfe benötigt und diesen Bedarf artikulieren kann, bevor Lehrer Chan die Ehre für sich beansprucht, Probleme gelöst zu haben, die es nicht gab."
MOCK_STORY_GOAL_4,Keep whatever remains of your reality score from being completely drained by mandatory group hugs and team bonding exercises that Gloria insists build trust but actually cause mild trauma.,防止你剩餘的現實分數被強制性的集體擁抱和團隊建設練習完全耗盡，Gloria 堅持認為這建立了信任，但實際上造成了輕微的創傷。,"Verhindern Sie, dass der Rest Ihres Reality-Scores durch obligatorische Gruppenumarmungen und Team-Bonding-Übungen, die laut Gloria zwar Vertrauen aufbauen, aber tatsächlich ein leichtes Trauma verursachen, völlig ausgelaugt wird."
MOCK_STORY_GOAL_5,Recover the mission briefing from Donkey before he finishes eating it during what he calls a trust exercise involving the literal internalization of objectives.,在 Donkey 以「字面上內化目標的信任練習」為由把任務簡報吃掉之前，設法奪回它。,"Erhalten Sie die Missionsbesprechung von Donkey zurück, bevor er sie während einer, wie er es nennt, Vertrauensübung, bei der es um die buchstäbliche Verinnerlichung von Zielen geht, aufgegessen hat."
MOCK_STORY_GOAL_6,Get one teammate to abandon their personal brand side-project for sixty consecutive seconds in order to assist with the actual declared emergency.,讓一名隊友放棄他們的個人品牌副項目整整六十秒，以便協助處理實際宣告的緊急情況。,"Bringen Sie einen Teamkollegen dazu, sein persönliches Marken-Nebenprojekt für 60 Sekunden hintereinander aufzugeben, um bei dem tatsächlich erklärten Notfall zu helfen."
MOCK_STORY_GOAL_7,Complete the official report without Gloria intercepting it and reframing your incident documentation as a heartwarming content opportunity with her name in the byline.,完成官方報告，不讓 Gloria 截取它並將你的事件記錄重新包裝為她的署名下的暖心內容機會。,"Vervollständigen Sie den offiziellen Bericht, ohne dass Gloria ihn abfängt, und gestalten Sie Ihre Vorfalldokumentation mit ihrem Namen in der Verfasszeile als herzerwärmende Content-Möglichkeit um."
MOCK_STORY_GOAL_8,Finish the assigned task before Teacher Chan convenes an emergency debrief on whether the task was emotionally sustainable enough to have been attempted at all.,在陳老師召開緊急事後匯報——討論這項任務在情感上是否可持續到值得嘗試——之前完成指定任務。,"Beenden Sie die zugewiesene Aufgabe, bevor Lehrer Chan eine Notfallbesprechung darüber einberuft, ob die Aufgabe emotional nachhaltig genug war, um überhaupt versucht zu werden."
MOCK_STORY_CONTEXT_LABEL,Context:,情境：,Kontext:
MOCK_STORY_OBJECTIVE_LABEL,Objective:,目標：,Objektiv:
MOCK_STORY_COMPLICATION_LABEL,Known complication:,已知併發症：,Bekannte Komplikation:
MOCK_STORY_STATUS_LABEL,Status monitor:,狀態監視器：,Statusmonitor:
MOCK_STORY_REMINDER,"Reminder: the harder you try, the faster the world burns.",提醒：你越努力，世界燃燒得越快。,"Zur Erinnerung: Je mehr Sie es versuchen, desto schneller brennt die Welt."
MOCK_CONSEQUENCE_OPENING_SUCCESS,Brief success,短暫成功,Kurzer Erfolg
MOCK_CONSEQUENCE_OPENING_FAIL,Failure as scheduled,如期失敗,Planmäßiger Ausfall
MOCK_CONSEQUENCE_REACT_SUCCESS_1,"Just as the guard nods and the situation stabilizes, Donkey bursts onto the scene and launches into an impromptu victory speech about saving invisible princesses from an interdimensional threat. Security is called. The moment is lost. Glory is complicated.",就在警衛點頭、情勢穩定時，Donkey 突然闖入現場，發表即興勝利演說，聲稱拯救了跨維度威脅下的隱形公主。保安被叫來了。時機失去了。榮耀變複雜了。,"Gerade als der Wachmann nickt und sich die Situation stabilisiert, stürmt Donkey auf die Bühne und hält eine spontane Siegesrede über die Rettung unsichtbarer Prinzessinnen vor einer interdimensionalen Bedrohung. Sicherheit heißt. Der Moment ist verloren. Ruhm ist kompliziert."
MOCK_CONSEQUENCE_REACT_SUCCESS_2,"The plan almost works, you can feel it succeeding, the positive energy building, until Gloria interrupts and requests a gratitude circle live on air so everyone can affirm their mutual success. By the time the circle ends thirty minutes later, the original problem has escalated and compounded.",計劃幾乎奏效，你能感覺到它成功了，正能量在積聚，直到 Gloria 打斷並要求在直播中進行感恩圈，以便每個人都能確認彼此的成功。當圈子在三十分鐘後結束時，原來的問題已經升級和複雜化了。,"Der Plan geht fast auf, man spürt, wie er gelingt, die positive Energie aufbaut, bis Gloria unterbricht und live auf Sendung einen Dankbarkeitskreis einrichtet, damit alle ihren gemeinsamen Erfolg bekräftigen können. Als der Kreis dreißig Minuten später endet, ist das ursprüngliche Problem eskaliert und verschärft."
MOCK_CONSEQUENCE_REACT_SUCCESS_3,"Success feels palpable until ARK realizes the solution violates section 7B of the official procedures, requiring immediate documentation revision before the success can be counted as legitimate.",成功似乎觸手可及，直到 ARK 意識到該解決方案違反了官方程序的第 7B 條，需要立即進行文件修訂才能將成功計為合法。,"Der Erfolg ist spürbar, bis ARK erkennt, dass die Lösung gegen Abschnitt 7B der offiziellen Verfahren verstößt und eine sofortige Überarbeitung der Dokumentation erfordert, bevor der Erfolg als legitim gewertet werden kann."
MOCK_CONSEQUENCE_REACT_SUCCESS_4,"The breakthrough lasts approximately four minutes before Gloria rebrands it as the centerpiece of her upcoming motivational retreat, commercializing your success so efficiently that your contribution is retroactively reclassified as content creation.",突破持續了大約四分鐘，Gloria 便將其重新定義為她即將舉辦的激勵靜修會的核心主題，如此有效率地商業化你的成功，以至於你的貢獻被追溯地重新歸類為內容創作。,"Der Durchbruch dauert ungefähr vier Minuten, bevor Gloria ihn zum Kernstück ihres bevorstehenden Motivations-Retreats umbenennt und Ihren Erfolg so effizient kommerzialisiert, dass Ihr Beitrag rückwirkend als Inhaltserstellung eingestuft wird."
MOCK_CONSEQUENCE_REACT_SUCCESS_5,"Something goes correctly for the first time in recorded memory, which immediately triggers ARK's anomaly detection protocol. He spends three hours auditing the success for procedural violations, and by the time he clears it, the window to capitalize on it has closed.",有記錄以來某件事第一次正確進行，這立即觸發了 ARK 的異常偵測協議。他花了三個小時審計成功是否存在程序違規，等他確認清楚時，利用它的窗口已經關閉了。,"Zum ersten Mal läuft im aufgezeichneten Speicher etwas richtig, was sofort das Anomalieerkennungsprotokoll von ARK auslöst. Er verbringt drei Stunden damit, den Erfolg auf Verfahrensverstöße zu überprüfen, und als er ihn klärt, hat sich das Zeitfenster, daraus Kapital zu schlagen, geschlossen."
